epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.685,1.40621,3.24261,1.77687,0.87723,0.14485,0.15111,0.07777,1.69185,3.58527,2.24312,0.0033296,0.0033296,0.0033296
2,518.727,1.41175,2.63932,1.75989,0.62203,0.23026,0.17707,0.08855,1.79752,3.46228,2.3476,0.00659697,0.00659697,0.00659697
3,749.014,1.49698,2.53127,1.84068,0.73213,0.1601,0.11133,0.04814,2.12036,3.52916,2.69449,0.00979834,0.00979834,0.00979834
4,980.741,1.5662,2.43125,1.90586,0.58346,0.22694,0.13721,0.06487,2.0327,3.15317,2.62593,0.009703,0.009703,0.009703
5,1220.05,1.53655,2.28358,1.88193,0.6379,0.19653,0.1738,0.09086,1.86286,2.37219,2.4336,0.009604,0.009604,0.009604
6,1447.49,1.50153,2.15338,1.85354,0.73553,0.23366,0.21844,0.11562,1.7817,2.217,2.38316,0.009505,0.009505,0.009505
7,1680.51,1.4788,2.08718,1.82165,0.6863,0.22687,0.21308,0.11505,1.76694,2.19104,2.41538,0.009406,0.009406,0.009406
8,1910.98,1.44476,1.99357,1.80307,0.56504,0.2382,0.24892,0.13467,1.77001,2.11096,2.31548,0.009307,0.009307,0.009307
9,2143.71,1.41437,1.9297,1.77784,0.61595,0.27101,0.27042,0.14518,1.75397,1.96654,2.33287,0.009208,0.009208,0.009208
10,2372.32,1.40688,1.90196,1.77934,0.7791,0.28749,0.30677,0.16057,1.67663,1.91592,2.21764,0.009109,0.009109,0.009109
11,2604.56,1.37956,1.84034,1.74528,0.63828,0.25267,0.28789,0.14457,1.63008,1.86267,2.19474,0.00901,0.00901,0.00901
12,2838.45,1.36401,1.80699,1.73757,0.65981,0.29338,0.31721,0.15977,1.61321,1.84975,2.2141,0.008911,0.008911,0.008911
13,3064.16,1.36307,1.77594,1.72418,0.52487,0.31909,0.28949,0.15382,1.62012,1.8875,2.18676,0.008812,0.008812,0.008812
14,3289.17,1.35745,1.73907,1.72642,0.59164,0.29721,0.32838,0.17259,1.60093,1.73748,2.14731,0.008713,0.008713,0.008713
15,3514.52,1.33334,1.70266,1.70835,0.71371,0.32935,0.32264,0.1721,1.62159,1.695,2.172,0.008614,0.008614,0.008614
16,3742.89,1.32993,1.67481,1.69758,0.49737,0.39006,0.33864,0.18649,1.60612,1.72888,2.14937,0.008515,0.008515,0.008515
17,3971.3,1.31859,1.65742,1.68728,0.67484,0.32527,0.34409,0.19735,1.63508,1.65747,2.16111,0.008416,0.008416,0.008416
18,4196.91,1.29714,1.63365,1.68064,0.50602,0.36978,0.34123,0.17941,1.59539,1.62269,2.11478,0.008317,0.008317,0.008317
19,4467.15,1.29816,1.59828,1.66661,0.55541,0.36207,0.35352,0.19304,1.55787,1.58578,2.10947,0.008218,0.008218,0.008218
20,4759.51,1.29571,1.58637,1.66968,0.56494,0.3783,0.37685,0.21124,1.54585,1.59653,2.08334,0.008119,0.008119,0.008119
21,5046.61,1.26515,1.56177,1.64611,0.57752,0.38786,0.35555,0.19338,1.56148,1.56699,2.09649,0.00802,0.00802,0.00802
22,5336.15,1.29546,1.56203,1.66678,0.59157,0.37203,0.3807,0.20998,1.57604,1.52214,2.11189,0.007921,0.007921,0.007921
23,5625.97,1.27458,1.53255,1.65125,0.56513,0.39364,0.39072,0.21374,1.52924,1.4789,2.06427,0.007822,0.007822,0.007822
24,5932.19,1.25531,1.50872,1.63303,0.54345,0.41295,0.39967,0.21994,1.56672,1.47996,2.09968,0.007723,0.007723,0.007723
25,6248.57,1.25075,1.49257,1.62658,0.56754,0.40299,0.39087,0.20936,1.53931,1.4903,2.07466,0.007624,0.007624,0.007624
26,6474.12,1.24912,1.4969,1.63038,0.58019,0.43103,0.41217,0.23268,1.55022,1.4635,2.06624,0.007525,0.007525,0.007525
27,6699.85,1.24619,1.49067,1.62696,0.62462,0.35598,0.42898,0.23376,1.4943,1.44594,2.03403,0.007426,0.007426,0.007426
28,6926.85,1.23175,1.4607,1.61111,0.68208,0.43913,0.42891,0.23415,1.5107,1.45086,2.03396,0.007327,0.007327,0.007327
29,7151.82,1.21642,1.44129,1.60369,0.60414,0.43123,0.4147,0.23139,1.50448,1.38604,2.03356,0.007228,0.007228,0.007228
